Latin Name	Family	Order	Taxonomy 1	Taxonomy 2	Taxonomy 3
Amborella_trichopoda	Amborellaceae	Amborellales			ANA grade
Nymphaea_thermarum	Nymphaeaceae	Nymphaeales			ANA grade
Nymphaea_colorata	Nymphaeaceae	Nymphaeales			ANA grade
Euryale_ferox	Nymphaeaceae	Nymphaeales			ANA grade
Brasenia_schreberi	Cabombaceae	Nymphaeales			ANA grade
Hordeum_vulgare	Poaceae	Poales	Commelinids		Monocots
Secale_cereale	Poaceae	Poales	Commelinids		Monocots
Triticum_turgidum	Poaceae	Poales	Commelinids		Monocots
Aegilops_tauschii	Poaceae	Poales	Commelinids		Monocots
Triticum_aestivum	Poaceae	Poales	Commelinids		Monocots
Thinopyrum_intermedium	Poaceae	Poales	Commelinids		Monocots
Avena_insularis	Poaceae	Poales	Commelinids		Monocots
Avena_sativa	Poaceae	Poales	Commelinids		Monocots
Brachypodium_hybridum	Poaceae	Poales	Commelinids		Monocots
Brachypodium_distachyon	Poaceae	Poales	Commelinids		Monocots
Achnatherum_splendens	Poaceae	Poales	Commelinids		Monocots
Bonia_amplexicaulis	Poaceae	Poales	Commelinids		Monocots
Guadua_angustifolia	Poaceae	Poales	Commelinids		Monocots
Olyra_latifolia	Poaceae	Poales	Commelinids		Monocots
Raddia_guianensis	Poaceae	Poales	Commelinids		Monocots
Oryza_rufipogon	Poaceae	Poales	Commelinids		Monocots
Oryza_sativa	Poaceae	Poales	Commelinids		Monocots
Oryza_glaberrima	Poaceae	Poales	Commelinids		Monocots
Oryza_punctata	Poaceae	Poales	Commelinids		Monocots
Leersia_perrieri	Poaceae	Poales	Commelinids		Monocots
Zizania_latifolia	Poaceae	Poales	Commelinids		Monocots
Zizania_palustris	Poaceae	Poales	Commelinids		Monocots
Miscanthus_lutarioriparius	Poaceae	Poales	Commelinids		Monocots
Saccharum_officinarum	Poaceae	Poales	Commelinids		Monocots
Sorghum_bicolor	Poaceae	Poales	Commelinids		Monocots
Bothriochloa_decipiens	Poaceae	Poales	Commelinids		Monocots
Zea_mays	Poaceae	Poales	Commelinids		Monocots
Dichanthelium_oligosanthes	Poaceae	Poales	Commelinids		Monocots
Echinochloa_crus-galli	Poaceae	Poales	Commelinids		Monocots
Setaria_viridis	Poaceae	Poales	Commelinids		Monocots
Setaria_italica	Poaceae	Poales	Commelinids		Monocots
Pennisetum_glaucum	Poaceae	Poales	Commelinids		Monocots
Panicum_virgatum	Poaceae	Poales	Commelinids		Monocots
Oropetium_thomaeum	Poaceae	Poales	Commelinids		Monocots
Zoysia_japonica	Poaceae	Poales	Commelinids		Monocots
Zoysia_matrella	Poaceae	Poales	Commelinids		Monocots
Eragrostis_tef	Poaceae	Poales	Commelinids		Monocots
Eragrostis_nindensis	Poaceae	Poales	Commelinids		Monocots
Phragmites_australis	Poaceae	Poales	Commelinids		Monocots
Pharus_latifolius	Poaceae	Poales	Commelinids		Monocots
Streptochaeta_angustifolia	Poaceae	Poales	Commelinids		Monocots
Rhynchospora_breviuscula	Cyperaceae	Poales	Commelinids		Monocots
Rhynchospora_pubera	Cyperaceae	Poales	Commelinids		Monocots
Rhynchospora_tenuis	Cyperaceae	Poales	Commelinids		Monocots
Carex_cristatella	Cyperaceae	Poales	Commelinids		Monocots
Carex_scoparia	Cyperaceae	Poales	Commelinids		Monocots
Juncus_effusus	Juncaceae	Poales	Commelinids		Monocots
Juncus_inflexus	Juncaceae	Poales	Commelinids		Monocots
Ananas_comosus	Bromeliaceae	Poales	Commelinids		Monocots
Wurfbainia_villosa	Zingiberaceae	Zingiberales	Commelinids		Monocots
Lanxangia_tsaoko	Zingiberaceae	Zingiberales	Commelinids		Monocots
Zingiber_officinale	Zingiberaceae	Zingiberales	Commelinids		Monocots
Ensete_ventricosum	Musaceae	Zingiberales	Commelinids		Monocots
Ensete_glaucum	Musaceae	Zingiberales	Commelinids		Monocots
Musa_balbisiana	Musaceae	Zingiberales	Commelinids		Monocots
Musa_acuminata	Musaceae	Zingiberales	Commelinids		Monocots
Calamus_simplicifolius	Arecaceae	Arecales	Commelinids		Monocots
Daemonorops_jenkinsiana	Arecaceae	Arecales	Commelinids		Monocots
Cocos_nucifera	Arecaceae	Arecales	Commelinids		Monocots
Elaeis_guineensis	Arecaceae	Arecales	Commelinids		Monocots
Areca_catechu	Arecaceae	Arecales	Commelinids		Monocots
Phoenix_dactylifera	Arecaceae	Arecales	Commelinids		Monocots
Phalaenopsis_equestris	Orchidaceae	Asparagales			Monocots
Cremastra_appendiculata	Orchidaceae	Asparagales			Monocots
Dendrobium_nobile	Orchidaceae	Asparagales			Monocots
Apostasia_shenzhenica	Orchidaceae	Asparagales			Monocots
Allium_cepa	Amaryllidaceae	Asparagales			Monocots
Allium_sativum	Amaryllidaceae	Asparagales			Monocots
Asparagus_officinalis	Asparagaceae	Asparagales			Monocots
